objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
minorcans001,minorcans001.jpg,,First photo of minorcans,image/jpeg,Description of the first photo of the minorcans,,,,,,Minorcans;,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
MC6,SAHS.png,,"Adelaide Sanchez Manuscript Collection, 1901 - 1973",image/jpeg,"""The scope & content includes the Sanchez Family and Genealogy, awards and certificates, pictures of family & friends, personal letters to & from her, newspaper articles about her, newspaper articles, manuscripts and copy by her.""",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/57987,MC6,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC9,SAHS.png,,"Jose Simeon Sanchez, 1797 - 1853",image/jpeg,"""This collection contains valuable records dating back to 1790. Also included is the marriage contract from 1787 between Francisco Xavier Sanchez and the parents of Maria del Carmen Hill. The Bible included in the collection served as a record for the births and deaths of members of the family such as the Lorings and the Oates'. The correspondence deals mainly with Jose Simeon's activities as a politician and public server. The most significant subjects covered in this collection are the claims for the war of 1812-1813, land grants, real estate sales, mortgages, elections, tax collections, census, statistics, sale of slaves and politics. There is also personal correspondence, financial reports, records of money transactions, tax collector receipts and marshall documents in this collection.""",St Augustine Historical Research Library,,1901 - 1973,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/57990,MC9,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC31,SAHS.png,,The Patriot War Papers and Patriot War Claims (1812 - 1846),image/jpeg,"""On June 6, 1988 the Patriot War Papers were rediscovered by the archivist at the St. Augustine Historical Society. These documents were found at the archives of the St. Johns County Courthouse by Mr. Mike Sheehan while emptying the drawers containing the Civil Court records from 1821 to the 1950's. Since August 1987 these records have been sent to the Historical Society to be catalogued, indexed and stored.""",St Augustine Historical Research Library,,1797 - 1853,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/58068,MC31,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC46,SAHS.png,,"The Fernandez- Llambias House
(1938 - 1993)",image/jpeg,"""This collection is primarily focused on the restoration of the Fernandez-Llambias House and the individuals involved. The following individuals feature heavily in this collection: Barnette, Stuart Moffett; Thomas, Les; Reyes, Edward L.; Barnette, Stuart Moffett; Wiles, Doris Coleman; Barnes, Eleanor Philips.""",St Augustine Historical Research Library,,1935,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/58122,MC46,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC60,SAHS.png,,Albert C. Manucy Papers (1930 - 1997),image/jpeg,"""This collection contains records of the Manucy family and personal history of Albert Manucy as well as documents concerning his professional life and community involvement in St. Augustine.""",St Augustine Historical Research Library,,1938 - 1993,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/58148,MC60,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC65,SAHS.png,,"Death Certificates & Burial Permits in St. Augustine, (1878-1894, 1901-1903, 1915-1922, 1925, 1928-1929)",image/jpeg,"""The collection is a sample of Death Certificates and Burial Permits arranged in chronological and alphabetical order.""",St Augustine Historical Research Library,,1930-1997,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/58180,MC65,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.28,SAHS.png,,Venancio Sanchez (1809- 1899),image/jpeg,"""This collection contains one item: Venancio Sanhez' letterbook where he kept his accounts. The book covers mainly the year 1869 and 1870.""",St Augustine Historical Research Library,,1878-1929,,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40053,MC16.28,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.48,SAHS.png,,The Reyes Stories about St. Augustine,image/jpeg,"""Short stories about places and life in St. Augustine, ""The Reyes Stories About St. Augustine""",St Augustine Historical Research Library,,1869-1870,yes,single-page; Manuscripts Collection,Minorcans; Stories,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40060,MC16.48,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.57,SAHS.png,,Stephen Vincent Benet Letter on Benet Family Genealogy (1933).,image/jpeg,"""Original 06/24/1933 Letter to Jean Parker (Waterbury) from Stephen Vincent Benet pertaining to the genealogy of the Benet family. Genealogy; Waterbury, Jean Parker; Benét, S. V. (Stephen Vincent), 1827-1895""",St Augustine Historical Research Library,,1934-05-01,yes,single-page; Manuscripts Collection,Minorcans; Personal Papers,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39972,MC16.57,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
